expo_cond,group_comp,timepoint,gene,baseMean,padj,log2FoldChange
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Cyp1a1_29719,73.1211868575955,1.03181287731786e-33,6.06711760220825
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Cyp1a1_79654,94.9870926438043,7.98672426121825e-17,5.25106430064281
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Nqo1_29503,316.360800204349,3.68882720822831e-16,2.44994867444487
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Cyp1b1_72511,72.8573526892265,3.08205308443315e-11,2.71366228597344
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Txnrd1_31483,110.599756667428,1.3675668844168602e-10,1.6984365329306
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Txnrd1_72590,545.813763099474,9.61876602357813e-10,1.28472540794117
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Rasa1_29997,658.254188776496,1.27042887788294e-9,-1.00416328756146
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Rfesd_55124,216.42757519817,5.86621783065109e-7,-1.35848248194568
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Lipo5_56386,22.7646691939931,2.02475679817556e-6,17.6713366907143
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Rb1cc1_65517,288.209259160779,2.4101825594574e-6,-1.52136537542261
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Tm2d2_70064,48.980776976869,2.4101825594574e-6,1.95870048035385
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Nbeal1_63407,1085.61350452127,3.10505610819894e-6,-1.27155472903597
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ccdc88a_76169,452.991556490629,6.3102130030916e-6,-1.08505433060272
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gclm_29258,99.0746395336514,8.05573694694009e-6,1.04934031570395
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gm3150_31169,995.097006175083,8.08043103154213e-6,-1.31092709183827
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Nceh1_80299,410.313823356106,9.1130145469832e-6,-1.11662164120221
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Maoa_30665,301.313231655042,1.00576942634998e-5,-1.0621053252111
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Zfp386_57297,380.294209792829,1.61079246959436e-5,-1.32005515855866
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Zfp992_80059,306.079986948806,1.61079246959436e-5,-1.67937587133015
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Rmi1_56327,369.068273090494,1.98804375757155e-5,-1.13130919853496
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Rap1a_77941,1082.34177566762,2.12676552232052e-5,-1.02094025836112
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Smpdl3a_68633,1072.07341474034,2.22447611703106e-5,-1.37177096597934
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gnl1_58119,51.2345834477329,2.72573316046987e-5,1.26404331160001
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Tlr3_73636,71.0733617475576,2.72573316046987e-5,-1.17734074501607
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fntb_58406,86.9169545548929,3.40644766049085e-5,1.16014094663683
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Inpp5k_68977,388.832512836975,4.04573736585341e-5,-1.04271559049427
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Map2k4_70072,213.633077282868,4.12116923527808e-5,-1.22133343470305
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Prnp_82120,300.328221139212,4.46454803355626e-5,1.03831642912529
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Selenot_65863,257.851703638577,4.46454803355626e-5,-2.57889274449211
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Zfp60_76673,198.710218754305,4.46454803355626e-5,-1.04531904188062
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Zfp758_70179,213.494974748157,5.0588067101221e-5,-1.88560216322965
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Mboat2_79973,558.867735244628,5.26085775614898e-5,-1.3210507632758
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Creb1_71798,17.7715091460066,5.47614470109325e-5,-2.05687323463689
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Mtmr2_64311,139.175714932173,6.36148795114271e-5,-1.22585397979317
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Cox6c_69727,2363.774282099,6.4279420577756e-5,-1.18306283629645
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ubxn4_62275,651.488449706715,6.4279420577756e-5,-1.0494208773302
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gng11_55923,1429.05778669279,6.93874857965713e-5,-1.10779815437514
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Huwe1_68852,498.194008933555,7.17235339111981e-5,-1.20632353298809
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Zbtb25_55165,154.739741845186,9.22177064096374e-5,-1.12125862788374
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Mff_64404,728.846124119162,9.87638277282971e-5,-1.25262998570044
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Cdc27_58942,372.251605936856,1.0314864612303e-4,-1.07773704947959
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Zfp760_55727,42.8414679822152,1.1069028588457e-4,-1.71621881551732
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Sort1_62170,1880.24859743476,1.284529587049e-4,-1.00644880941699
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,N4bp2l1_63169,54.819723382877,1.3004922871112e-4,-1.23025124627611
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ttc30b_62618,207.138007157958,1.3004922871112e-4,1.37206343230367
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,AU021092_61815,650.90228659493,1.321312668627e-4,-1.25973120917884
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Lama3_56547,158.302158759499,1.321312668627e-4,-1.05791151369922
