ind,jaccard_similarity_EucalyptusFlame,overlap_EucalyptusFlame,jaccard_similarity_EucalyptusSmolder,overlap_EucalyptusSmolder,jaccard_similarity_LPS,overlap_LPS,jaccard_similarity_PeatFlame,overlap_PeatFlame,jaccard_similarity_RedOakSmolder,overlap_RedOakSmolder,jaccard_similarity_PineNeedlesFlame,overlap_PineNeedlesFlame,jaccard_similarity_PineNeedlesSmolder,overlap_PineNeedlesSmolder,jaccard_similarity_PeatSmolder,overlap_PeatSmolder,jaccard_similarity_PineFlame,overlap_PineFlame,jaccard_similarity_PineSmolder,overlap_PineSmolder,jaccard_similarity_RedOakFlame,overlap_RedOakFlame
EucalyptusFlame,1,93, , , , , , , , , , , , , , , , , , , , 
EucalyptusSmolder,0.0542168674698795,9,1,82, , , , , , , , , , , , , , , , , , 
LPS,0.337209302325581,58,0.280701754385965,48,1,137, , , , , , , , , , , , , , , , 
PeatFlame,0.0754716981132075,12,0.019108280254777,3,0.257309941520468,44,1,78, , , , , , , , , , , , , , 
RedOakSmolder,0.0101010101010101,1,0.0229885057471264,2,0.0285714285714286,4,0,0,1,7, , , , , , , , , , , , 
PineNeedlesFlame,0.0319148936170213,3,0,0,0.0143884892086331,2,0.025,2,0,0,1,4, , , , , , , , , , 
PineNeedlesSmolder,0.0306122448979592,3,0.0465116279069767,4,0.0283687943262411,4,0,0,0,0,0.0909090909090909,1,1,8, , , , , , , , 
PeatSmolder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1, , , , , , 
PineFlame,0.0208333333333334,2,0,0,0.0142857142857142,2,0,0,0,0,0,0,0,0,0.2,1,1,5, , , , 
PineSmolder,0,0,0,0,0.0141843971631207,2,0,0,0,0,0,0,0,0,0.166666666666667,1,0.1,1,1,6, , 
RedOakFlame,0.0106382978723404,1,0.0120481927710844,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
