ind,jaccard_similarity_LPS,overlap_LPS,jaccard_similarity_PeatFlame,overlap_PeatFlame,jaccard_similarity_EucalyptusFlame,overlap_EucalyptusFlame,jaccard_similarity_EucalyptusSmolder,overlap_EucalyptusSmolder,jaccard_similarity_PineNeedlesFlame,overlap_PineNeedlesFlame,jaccard_similarity_RedOakFlame,overlap_RedOakFlame,jaccard_similarity_PineFlame,overlap_PineFlame,jaccard_similarity_PineNeedlesSmolder,overlap_PineNeedlesSmolder,jaccard_similarity_PineSmolder,overlap_PineSmolder,jaccard_similarity_PeatSmolder,overlap_PeatSmolder,jaccard_similarity_RedOakSmolder,overlap_RedOakSmolder
LPS,1,1190, , , , , , , , , , , , , , , , , , , , 
PeatFlame,0.289807421324565,617,1,1556, , , , , , , , , , , , , , , , , , 
EucalyptusFlame,0.279826464208243,645,0.285271317829457,736,1,1760, , , , , , , , , , , , , , , , 
EucalyptusSmolder,0.176383399209486,357,0.221431747443308,498,0.360534808667589,782,1,1191, , , , , , , , , , , , , , 
PineNeedlesFlame,0.141568355308813,204,0.138087153367289,244,0.162729658792651,310,0.164897381457891,233,1,455, , , , , , , , , , , , 
RedOakFlame,0.22354272778721,395,0.208413001912046,436,0.241253975465697,531,0.25609756097561,441,0.127172195892575,161,1,972, , , , , , , , , , 
PineFlame,0.115952732644018,157,0.157927205428748,256,0.126691932864104,234,0.130044843049327,174,0.170437405731523,113,0.141218005295675,160,1,321, , , , , , , , 
PineNeedlesSmolder,0.10105680317041,153,0.114583333333333,209,0.162681912681913,313,0.260770975056689,345,0.116167664670659,97,0.145454545454545,184,0.14985590778098,104,1,477, , , , , , 
PineSmolder,0.0595238095238095,80,0.0554245283018868,94,0.06574024585783,123,0.0894495412844037,117,0.0850393700787402,54,0.0405522001725626,47,0.0818713450292398,42,0.157980456026059,97,1,234, , , , 
PeatSmolder,0.0264423076923076,33,0.0457142857142856,72,0.0363941769316909,65,0.0439739413680782,54,0.0499999999999999,26,0.0260617760617761,27,0.110512129380054,41,0.0881226053639846,46,0.069078947368421,21,1,91, , 
RedOakSmolder,0.0221311475409836,27,0.0170239596469105,27,0.0184977578475336,33,0.0263157894736842,32,0.0343434343434343,17,0.0188118811881188,19,0.0413223140495868,15,0.0595238095238095,30,0.0659340659340659,18,0.088235294117647,12,1,57
