expo_cond,group_comp,timepoint,gene,baseMean,padj,log2FoldChange
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Ccl3_30767,65.6515785763842,4.54395037643391e-6,4.00217664255665
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Timp1_30249,463.246910629485,7.9851024844415e-4,1.8696462288917
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Tm2d2_70064,48.980776976869,7.9851024844415e-4,1.64425501599738
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Cxcl2_63751,176.038694421241,8.5026727246167e-4,3.57876213300269
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Marco_61146,25.449658168706,0.00212872499763636,3.74766207134485
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Tmem131_68186,94.8184168094144,0.00233099806077527,2.64152091654916
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Nr1d2_76151,597.461400908838,0.00288248562590368,1.33531696563789
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Sbf2_75510,47.7335531349693,0.00589535522827408,-1.38321844603884
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Lilr4b_63684,118.891532097977,0.00755291699632929,1.67296064917921
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Il1b_30437,58.9154924899218,0.00796461352522655,2.67901249607302
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Acod1_54942,346.277662761993,0.00811055538059082,4.00221614228034
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Slfn4_31065,705.160125944693,0.00880993653961633,2.10154292297498
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Iigp1_63699,253.048425904645,0.00933137093163377,2.43930572772322
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Scn3b_29854,142.12249185739,0.00978707393770312,2.28842011297375
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Ctnna3_53913,223.563520623756,0.00979869337087226,-1.49907706022276
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Slfn4_79582,108.81511643282,0.0107553974077571,2.88903543788104
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Ddhd1_64196,20.6037225287796,0.0131596701007283,1.7856145276278
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Asb2_75471,917.808356461508,0.0145992439762902,-1.52081104028004
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Uxt_29864,71.2617604185646,0.0171146380951505,1.58000013368721
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Peak1_73295,25.1457171473041,0.0172158581090549,-1.38642615930154
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Tbx20_77085,245.56491196578,0.0174361136714144,-2.74215555647671
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Ighv14-4_72567,17.2620229047122,0.0179545368806766,1.92614546625576
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Cd14_53964,23.3189246429544,0.01833205658731,2.24259731406542
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Hmcn2_74324,17.0858697870766,0.01833205658731,-2.45685158134791
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Igtp_30275,397.442054770909,0.01833205658731,2.13049550987675
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Tgtp1_76294,543.228149880379,0.01833205658731,2.06442834892064
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Tifab_72623,13.1269014087962,0.0195529852524431,2.21949553368891
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Bves_61287,414.060472343718,0.0222832982983808,-2.30312336372154
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Gbp8_67850,57.864611635779,0.0222832982983808,2.4796988453954
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Tgtp2_63879,104.446377550374,0.0222832982983808,2.4214553303236
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Actc1_79948,18446.1055077177,0.0225884037468218,-1.63699275352544
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Cwf19l2_60987,58.4974812508241,0.0250754824155046,1.60732561520781
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Prox1_60195,166.285471570125,0.0250754824155046,-1.37276241212265
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Rgs7bp_54317,35.7889377225725,0.0253552299849444,-1.61421593659147
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Col6a6_62163,39.3354652929758,0.0268005746142912,1.95438228733971
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Ppig_70633,117.589674788227,0.0277797496061253,2.19681811381018
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Cd177_59878,71.6993624894308,0.0281914705768653,2.9401229715569
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Iigp1_30403,558.402352658343,0.0295793075274709,1.88149122754887
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Nat2_30293,41.4363693225686,0.032145213978709,1.55576755704096
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Myo18b_78617,1029.16425442575,0.0323059316693637,-2.21856610512492
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Klk13_71623,47.2139583279249,0.0349736802142593,1.39513581092466
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Speer4c_70937,15.1770856951077,0.0365467011230529,2.11190987312841
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,H2-Q10_68579,15.6907953292412,0.0367276624470791,2.9916855864943
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Ccr1_55926,14.8650815247741,0.0391170315001274,2.16503147660191
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Ctbs_69266,89.9711235684207,0.0391724897141597,1.60899202878569
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Fpr1_72651,68.8385142116346,0.0408974883232646,2.22022329823021
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Dbp_31391,495.871138593377,0.0426765565459247,1.55366804586099
